Id	Buckwalter	Arabic	English	Meanings	BanglaMeanings
694	syb	سيب	sīn yā bā	  to wander at random, be set free to pasture. saibatun (from saba) - it ran by  itself and wandered at random and was set free to pasture. It signifies any  domestic beast left to pasture without attention. Liberation of certain domestic  animals to pasture and prohibiting their use or slaughter in honour of idols was  a practice the Arabs in pre-Islamic days. They were selected mainly on the basis  of the number, sex and sequence of their springs. According to some the animal  set free was to be the mother of a bahirah an animal which had brought forth  females at successive births.	
695	syH	سيح	sīn yā ḥā	  to flow over the ground (water), run backwards and forwards, turn, move. siyahat  - travel/journey/tour. saihun - devotee, wandering, one who fasts, one who holds  himself back from doing or saying or thinking evil.	
696	syr	سير	sīn yā rā	  to go, travel, be current, move, journey. sairun - the act of giving, journey.  siratun - state/condition, make/form. sayyaratun - company of travellers,  caravan.	
697	syl	سيل	sīn yā lām	  to flow, sailun - brook, torrent, flood, water course.	
698	$Am	شأم	shīn hamza mīm	 to draw ill, cause dismay, be struck with wretchedness and contempt. shu'mun -  wretchedness, contempt, calamity, unrighteousness. ashab al mash'amah - the  wretched ones, those who have lost themselves in evil and are prone to  unrighteousness.	
699	$An	شأن	shīn hamza nūn	 to pursue an aim, perform a thing well, know care for,  matter/business/thing/affair/state/condition/concern, natural, propensity, way,  state of glory.	
700	$bh	شبه	shīn bā hā	    to be like, to resemble/assimilate/liken/imitate, to compare one thing with    another due to an attribute connecting them or is common to them: can be real    or ideal - real: &quot;this dollar is like this dollar&quot; ideal: &quot;John    is like the lion/ass (i.e. strength/stupidity)&quot;, appear like another thing,    ambiguous/dubious/obscure, comparison/similitude/parable/simile, co similar,    resemble (in quality or attributes), conformable.   With reference to the Quran is that of which the meaning is not be learned    from its words and this is of two sorts: one is that of which the meaning is    known by referring to what is termed &quot;muhkam&quot; and the other    is that of which the knowledge of its real meaning is not attainable in any    way or it means what is not understood without repeated consideration. (e.g.    3:7)	
701	$tt	شتت	shīn tā tā	 to separate, be scattered, be dispersed, be various, be divided, be diversed.	
702	$tw	شتو	shīn tā wāw	 to pass winter, be cold, winter.	
703	$jr	شجر	shīn jīm rā	 to avert, be a matter of controversy, dispute about, turn aside, thrust (with  a spear), be disputed between. shajar alamru bainahun - the affair or case  became complicated and confused so as to be a subject of disagreement and  difference between them. shajarun/shajaratun - tree, plant having a trunk or  stem, stock or origin of a person.	
704	$HH	شحح	shīn ḥā ḥā	 to be avaricious, niggardly, stingy, greedy. shuhhun - avarice, selfishness,  greed, niggardliness, covetousness.	
705	$Hm	شحم	shīn ḥā mīm	 to live or feed with fat, fats/salts/pulp, fleshy part.	
706	$Hn	شحن	shīn ḥā nūn	 to fill/load/furnish.	
707	$xS	شخص	shīn khā ṣād	 to be raised up, fixed (the eyes) in horror, fixedly stare (in horror).	
708	$dd	شدد	shīn dāl dāl	 to bind tightly, strap, strengthen firmly, run, establish, make firm, hard,  strong, be advanced (day), be intense. ushdud - harden, strengthen. shadiid (pl.  shidaad &amp; ashidda'u - great, firm, strict, vehement, strong, violent, severe,  mighty, terrible, stern, grievous, miserly, niggardly. (adj. of the forms fa'iil  and fiaal are used indifferently for both m. and f.): ashuddun: age of full  strength, maturity. ishtadda (vb. 8) - to act with violence, become hard.	
709	$rb	شرب	shīn rā bā	 to drink, swallow, sunk in, absorb. shirbun - portion of water, time of  drinking. shurbun - drinking. shaaribun - one who drinks. sharaabun - drink,  beverage, portion. mashrabun - drinking place. ashraba (vb. 4) - to give to  drink, make to drink, permeate as. ushribu fi-qalbihi - love of such and such a  thing permeated his heart, the word is so used because love is like alcohol that  intoxicates one who partakes of it.	
710	$rH	شرح	shīn rā ḥā	 to open/enlarge/expand/spread, uncover/disclose/explain.	
711	$rd	شرد	shīn rā dāl	 to become a fugitive, flee, escape, depart, run away at random. sharrida  (vb. 2) - to disperse/scatter.	
712	$r*m	شرذم	shīn rā dhāl mīm		
713	$rr	شرر	shīn rā rā	 to do evil, be ill natured, wicked. yashirru/yasharru - to find fault, defame.  sharrun (pl. ashrar) - evil, bad, wicked, vicious ones. It is noteable that  shurrun is an exceptional form of elative adjective while the measure for  elative in Arabic is afa'la. shararun (pl. ashraar) - sparks of fire.	
714	$rT	شرط	shīn rā ṭā	 to impose a condition. ashraatun (pl. of shartun) - sign, token.	
715	$rE	شرع	shīn rā ʿayn	 to be seated upon a road, open a street (door), establish a law, begin,  appoint a religion. shurra'un (pl. of shaari'un) - in shoals, upon shoals,  breaking the water surface, holding up (their heads), appearing manifestly.  shir'atun &amp; shari'atun - law or institution prescribed by God, right way or mode  of action, clear highway/course/path.	
716	$rq	شرق	shīn rā qāf	 to split, rise, slit. sharqiyyun - of or pertaining to the east, eastern.  mashriq - place of sunrise, east. mashriqain - two easts/horizons, two places  where the sun rises (in winter and summer, East and West). mashaariq - different  points of sunrise, whence the sun rises in the course of the year, beam, gleam,  eastern parts. ashraqa (vb. 4) - to shine, rise. ishraaq - sunrise. mushriqun -  one on whom the sun has risen, who does anything at sunrise, one entering at the  sunrise.	
717	$rk	شرك	shīn rā kāf	 to be a companion, be sharer/partner. shirkun - share, participation,  polytheism, idolatry, making associate/partner with Allah. shariik (pl. shurakaa)  - associate, partner, sharer. Nouns of the second declension when followed by  the affixed pronouns take the three inflexions thus shurakaa, shurakaa'i,  shurakaa'a. shaarak (vb. 3) - to share with. ashraka (vb. 4) - to make a sharer  or associate, give companions (e.g. to God), be a polytheist or idolater.  ashraktumuuni - you associated me as partner. mushrik - one who gives associate  to God, polytheist. mushtarikun (vb. 8) - one who partakes or shares. 	
718	$ry	شري	shīn rā yā	 to buy/sell/barter/purchase, conclude a sale, give or take in exchange,  refuse, choose, prefer, give up anything and take another, lay hold on another.	
719	$TA	شطأ	shīn ṭā hamza	 to bring out the stalk (of a plant), sprout forth, walk on the bank of a river  or valley. shat'un - the stalk of a plant. shaati'un (pl. shawaatiun) - branch  of or shoot of a river or valley.	
720	$Tr	شطر	shīn ṭā rā	 to part in two, divide into halves, the direction of, towards.	
721	$Tn	شطن	shīn ṭā nūn	 become distant/far/remote, enter firmly / become    firmly fixed therein / penetrate and be concealed, turn away in opposition (from    direction/aim), devil, one excessively proud/corrupt, unbelieving/rebellious/insolent/audacious/obstinate/perverse,    rope, deep curved well, it burned, became burnt, serpent, any blameable faculty    or power of a man.	
722	$Eb	شعب	shīn ʿayn bā	 to separate, collect, appear, scatter, repair, impair, send (a message to),  branch off. shu'ub (pl. of sha'bun) - large tribe, nation, collection. shu'abin  (pl. of shu'batun) - twigs or branches of a tree, space between two branches,  portion. shu'ayb - name of a prophet sent to the Midianites.	
723	$Er	شعر	shīn ʿayn rā	 to know/perceive/understand, to acquaint, perceive by senses.   make verses, remark, poetry, poet, verse, art of poetry, feeling, knowledge.   Sirius, which was worshipped by the Arabs in Pagan times.   mark/marker/signs/rites/symbols/observances/ceremonies/practices, the obligatory    ordinances/statutes of God.   a place where a thing is known to be.   measure of length.   sheep/goat.   hair, innermost garment.   trees.   a sign of people in war and in a journey, a call or cry by means of which to    know another, help.   mash'ar al-Haram - holy mosque in Muadhalifah (a place which lies    between Makkah and Arafat, six miles from Kabah). The name    Mash'ar al-Haram is a compound of Mash'ar meaning the place of    perception or knowledge and Haram meaning sacred. Ash'ara to make    anyone understand, make known to.	
724	$El	شعل	shīn ʿayn lām	 to kindle, light (fire). ishta'ala (vb. 8) - to be lighted, become shining and  inflamed. ishta'ala shayban - to become hoary, glisten with grey hairs.	
725	$gf	شغف	shīn ghayn fā	 to affect deeply, affect in the heart's core, inspire (with violent love).  shaghfun - bottom of the heart, pericardium. shaghaf - passionate love. 	
726	$gl	شغل	shīn ghayn lām	 to occupy, keep busy. shughlun - occupation, work, employment.	
727	$fE	شفع	shīn fā ʿayn	 to make even that which was odd, make double, pair, make a thing to be one of  the pair, adjoin a thing to its like, provide a thing which was alone with  another, protect, mediate, intercede, be an intercessor. shaf'un - pair, double.  shafa'at - likeness/similarity, intercede or pray for a person.	
728	$fq	شفق	shīn fā qāf	 to pity, be anxious about, fear. shafaq - fear, pity, evening, twilight  with its redness or whiteness, after sunset. ashfaqa - to be afraid. mushfiqun -  one who is afraid or is in terror, compassionate, fearful one, tender. 	
729	$fh	شفه	shīn fā hā	 to strike on the lips, lip.	
730	$fw	شفو	shīn fā wāw	 to be at the point of, near its setting (sun), appear (new moon), extremity,  brink, remainder of life, light.	
731	$fy	شفي	shīn fā yā	 to cure, quench, restore to health. shifa - recovery, remedy, healing.	
732	$qq	شقق	shīn qāf qāf	    pass along the way, cross, open a way/passage/vent/channel, cut/split/divided/clave/ripped/tore.	
733	$qw	شقو	shīn qāf wāw		
734	$kr	شكر	shīn kāf rā	 to give thanks, be grateful, realize or acknowledge one's favour, praise.  shukrun - giving thanks, gratitude. shaakirun - one who gives thanks or is  grateful, appreciated and bountiful in reward. shakruurun - thankful. Sometimes a distinction is made between this word and  shaakirun. The former is used to denote a person who is thankful for little or  for nothing, the latter grateful for large favours. mashkuurun - gratefully accepted, acceptable.	
735	$ks	شكس	shīn kāf sīn	 to be perverse, stubborn, cross-tempered. Tashaakasa - to wrangle,  quarrel. Mutashakisun - quarreling, at variance with each other.	
736	$kk	شكك	shīn kāf kāf	 to doubt.	
737	$kl	شكل	shīn kāf lām	 to mark, fashion, shackle. shakilatun - likeness, mode, way, manner,  disposition, rule of conduct, fashion, peculiar manner. shakl -  similitude/likeness.	
738	$kw	شكو	shīn kāf wāw	 to complain/accuse, bewail. ashka - to listen to the complaint, remove the  cause of complaint, satisfy the complaint of anyone by. shakwatun - small  water-skin, pillar on which a lamp is put. ishtakaa - to make a complaint.  mishkaat - niche for a lamp in the wall, pillar on which a lamp is put. 	
739	$mt	شمت	shīn mīm tā	 to rejoice at another's evil	
740	$mx	شمخ	shīn mīm khā		
741	$mz	شمز	shīn mīm zāy		
742	$ms	شمس	shīn mīm sīn	 to be bright with sunshine, be glorious, be sunny. shams - sun.	
743	$ml	شمل	shīn mīm lām	 to include, contain, conceive, comprise, comprehend. shimaal (pl. shamaa'il) -  left, norths.	
744	$nA	شنأ	shīn nūn hamza	 to hate/loathe, shanaanan - hatred, insult, adversity, enmity, hostility,  malice, abhorring. shaaniun - insulter, enemy, foe, adversary, antagonist.  shaan'ka - your enemy.	
745	$hb	شهب	shīn hā bā	 to burn/scorch, become of a colour in which whiteness predominates over  blackness. shihaab (pl. shuhub) - flaming fire, bright blaze/meteor, star,  penetrating flame, shining star, brisk/sprightly, flame, brand, radiating or  gleaming fire, shooting or falling star. shihaab al-herb - dauntless warrior,  one who is penetrating sharp and energetic in war.	
746	$hd	شهد	shīn hā dāl	 told/gave    information, to witness/see, to be present, give evidence/testimony, bear witness.  mushhad - time or place of being present or of giving or hearing evidence,  meeting place. mashhuud - that which is witnessed.	
747	$hr	شهر	shīn hā rā	    make it notable/known/manifest/public/infamous (in a bad or good sense), hire/contract    for a month, stay a month, month old, month, new moon, moon, full moon, any    evil thing that exposes its author to disgrace, a vice/fault or the like, big    &amp; bulky, reputable/eminent.	
748	$hq	شهق	shīn hā qāf	 to draw in the breath while sighing, sigh, roaring.	
749	$hw	شهو	shīn hā wāw		
750	$wb	شوب	shīn wāw bā	 to mingle/mix, he adulterated/sophisticated it, to confound/confuse. shawb -  mixture for drink.	
751	$wr	شور	shīn wāw rā	 gather, extract, exhibit, show, display, examine, consult, debate, counsel,    advice, make known, notify, command, order, enjoin.	
752	$wZ	شوظ	shīn wāw ẓā	 to abuse, use abusive language, brawl, hurl abuses. shuwaazun - smokeless  blaze, flame, smoke, intenseness of fire/heat, heat of sun, vehement  burning/thirst, thirst for revenge, scream/shriek/screech.	
753	$wk	شوك	shīn wāw kāf	 to prick, be sharp-pointed, thorn, show vigour. shaukatun - weapon, power,  might, spur.	
754	$wy	شوي	shīn wāw yā	 to roast/scald/grill. shawan - scalp, skin of head, skin even to the  extremities (of the body).	
755	$yA	شيأ	shīn yā hamza	 to will/wish. shaiun (pl. ashyaa'un) - thing/matter, affair in any way, at  all, what is willed or wished, aught, any extent. In direct objective case it is  often used to denote the meaning &quot;a little&quot;, &quot;bit&quot;, &quot;at all&quot;. Adverbially it  means &quot;in any way&quot;, &quot;at all&quot;.	
756	$yb	شيب	shīn yā bā	 to be hoary (hair), to grow old, go grey.	
757	$yx	شيخ	shīn yā khā	 to be old, old/aged man.	
758	$yd	شيد	shīn yā dāl	 to plaster or coat (a wall), raise (a building), lofty, fortify.	
759	$yE	شيع	shīn yā ʿayn	 become spread/published/known/revealed/apparent, scattered/dispersed, conforming/agreeing    with another, befriend/friendly, went along together, like/similar, follower/assistant/friend/comrade/sharer/partner,    separate/distinct party/sect, way of doctrine/system/practice.	
760	SbA	صبأ	ṣād bā hamza	 to  change one's religion, lead (a troop), rise (star), touch, wish. saabii (pl.  saabiuun) - the word refers to certain religious sects that were found in parts  of Arabia and countries bordering it.	
761	Sbr	صبر	ṣād bā rā	 to  bind, be patient or constant, endure patiently, steadily adhere to reason and  command, restrain from what reason and law forbid, restrain from manifesting  grief, agitation and impatience. The word being the contrary of jaz'a  (manifestation of grief and agitation).	
762	Sbw	صبو	ṣād bā wāw		
763	SHf	صحف	ṣād ḥā fā	 to  write or read, dig. sahfatun (pl. sihaaf) - hollow, large dish. sahiifa -  surface of the earth. sahiifatun (pl. suhuf) - heap of a book.	
764	Sxx	صخخ	ṣād khā khā		
765	SdE	صدع	ṣād dāl ʿayn	 to  split, expound, cleave, profess openly, divide, cross, proclaim, promulgate  aloud, declare openly, be affected with headache, manifest, make clear. sad'un -  fissure. suddi'a - to oppress with or suffer from headache. issada'a (vb. 5) -  to be split up or divided. mutasaddiun - that which is cloven or splits in two. 	
766	Sdf	صدف	ṣād dāl fā	 to  turn away, shun aside, hinder, prevent, bar, prohibit. sadaf - barrier,  obstacle, obstruction, hindrance, restriction, prevention, interruption,  limitation, prohibition, check, steep side of a mountain.	
767	Sdq	صدق	ṣād dāl qāf	 to  be truthful, true, sincere, speak the truth, establish or confirm the truth of  what another has said, verify, keep faith, observe a promise faithfully, fulfill,  speak veraciously, hold anyone as trustworthy. sadaqa fi al-qitaali - to fight  gallantly. tsaddaqa - to give alms. sidqun - truth, veracity, sincerity,  soundness, excellence in a variety of different objects, salubrious and  agreeable, favourable entrance, praise. saadiqun - one who is true and sincere,  one who speaks the truth. saadiqah - perfect woman. sadaqat (pl. saduqaat) -  dowry. siddiiq - person who is trustworthy, sincere. saddaqa - to confirm,  verify, fulfil. asdaqu - more true.	
768	Srx	صرخ	ṣād rā khā		
769	SrSr	صرصر	ṣād rā ṣād rā	  This is a quadrilateral verb derived from sarra - to cry out, make a chattering  noise (as a green woodpecker). sarsarun - loud roaring and furious wind, blast  of cold, wind, vehement wind, raging furious and intense cold (wind).	
770	SrT	صرط	ṣād rā ṭā	 a  path which is even, wide enough and can be trodden without difficulty. A  road/way/path, long sword.	
771	Srm	صرم	ṣād rā mīm	 to  cut off, reap, pluck, be broken, gather (fruit), trim. saarim - one who cuts or  gathers (fruit). sariim - garden whose fruit has all been cut, dark night as  though it were burnt up and black.	
772	SEq	صعق	ṣād ʿayn qāf	 to  smite or strike (lightning, thunderbolt), swoon, become unconscious, be stunned,  faint. sa'iqun - one in a swoon. saa'iqatun (pl. sawaaiq) - stunning noise as of  a thunderbolt, vehement cry, thunderbolt, thunderclap, destructive calamity,  death, noise.	
773	Sgr	صغر	ṣād ghayn rā	 to be  small/little. saaghirun - one who is small/little/subdued/abject or in a state  of subjection. saghiir - small. asghar - smaller. saghaar - vileness, contempt,  humiliation.	
774	Sgw	صغو	ṣād ghayn wāw		
775	Sfd	صفد	ṣād fā dāl	 to  bind, fetter, chains, favour or gift bestowed on someone because it binds the  receiver to the giver.	
776	SfSf	صفصف	ṣād fā ṣād fā	  gurd, level plain.	
777	Sff	صفف	ṣād fā fā	 evenly,    side by side, laid out, a rank/row/line, in order, with reference to a bird: extend its    wings in a line, expand/spread its wings (i.e. not flapping).	
778	Sfw	صفو	ṣād fā wāw	    it became clear/limpid/pure (often said of a drink), opposite of Kaf-Dal-Ra,    free from turbidness/thickness/muddiness, free from admixture, became cloudless    (said of air/atmosphere, but also said of love/life/mind/heart), clear/pure/best/choice/favoured    part/potion, clear/clarify, true/sincere, distinguish particularly/specially,    select/elect/prefer, serenity of life, comfort, reciprocal sincerity/purity.   take the best of, to choose in preference to, grant to another a preference    in the choice of anything.   abound with milk (said of a she-camel/ewe/goat/sheep), palm-tree heavy with    fruit,    reached stone (said of a digger).   the portion of the spoil, which the chief/commander chooses for himself before    the division.   become destitute/devoid.   stone, smooth stone/rock, stone that doesn't give growth to anything, hard broad    stone, a certain place in Mekkeh.	
779	Skk	صكك	ṣād kāf kāf	 to  strike upon, smite, slap.	
780	Sld	صلد	ṣād lām dāl	 to  be hard, bare and smooth, to shun or turn away.	
781	Sly	صلي	ṣād lām yā	 to  warm at the fire, endure heat, to roast/fry/broil/burn.	
782	Smt	صمت	ṣād mīm tā	 to  remain silent. saamitun - one who holds his peace, silent, lifeless, mute.	
783	SnE	صنع	ṣād nūn ʿayn	 to  make/do/create/build, work a thing, nourish, bring up. sun'un - an act, that  which is done. masna'un (pl. masani) - cistern, palace, citadel, fine building,  fortress. san'atun - making, art of making.	
784	Swb	صوب	ṣād wāw bā	 to pour forth, hit the mark, come down. asaaba - to  overtake, happen to, befall, fall upon, will, affect injuriously, meet with,  send down, pour down upon, afflict or punish, intend, desire. sawaabun - that  which is right, straight forward course, rightness. musiibun - that which  happens. musiibatun - calamity.	
785	Swf	صوف	ṣād wāw fā	 to  wear wool, wool-fleece.	
786	Syd	صيد	ṣād yā dāl	 to  hunt/chase/fish. saidun - hunting, shooting, fishing, fish or game caught, pray.	
787	SyS	صيص	ṣād yā ṣād	 to  protect/defend/preserve/guard, keep safe. siisah - fortress, cocks spur, horn,  anything that is used for protection and safety/defence/preservation.	
788	Syf	صيف	ṣād yā fā	 to  pass the summer.	
789	DAn	ضأن	ḍād hamza nūn	 to have numerous sheep, set apart,  detach, separate, set apart  the sheep from the goat.  Da'n  noun. masculine. (pl. of Da'in) - 6:143	
790	DbH	ضبح	ḍād bā ḥā	 to pant, breathe in running (horses), snore,  yelp, snorting, the  act of panting and soaring, cried out, raising the voice in reading.  Dabaha  noun. verb. accusative - 100:1	
791	DjE	ضجع	ḍād jīm ʿayn	 to incline to setting, incline. Slumber, way of reclining,  bed-fellow, sleeping room/bed, resting place, couch.  maDaji  n.m. (pl. of maDja') - 3:154, 4:34, 32:16	
792	DHk	ضحك	ḍād ḥā kāf	 to wonder, menstruate, rejoice, inspire with awe, ridicule,  laugh at, laugh, become clear.  Dahika vb. (I) perf. act. - 11:71,  impf. act. - 9:82, 23:110, 43:47, 53:60, 83:29, 83:34,  pcple. act. - 27:19, 80:39.	
793	Ddd	ضدد	ḍād dāl dāl	 to overcome anyone, contradict, oppose. Hostile, adversary,  contrary, one pitted against, against, repugnant.  Didd  n.m. - 19:82	
794	Drb	ضرب	ḍād rā bā	 to heal, strike, propound as an example, put forth a parable, go, make a journey,    travel, mix, avoid, take away, put a cover, shut, mention, state, propound,    set forth, compare, liken, seek a way, march own, set, impose, prevent, fight,    traffic with anyone's property for a share in the profit, leave for sake, take    away thing (with 'an).   Depressed ground, hard ground in a plain, sandy valley, commissioner as he has    to travel much.   Kind manner, lean, thin, similar, alike, the act of striking, a blow, going  from place to place, vicissitude of life, affliction especially that which  relates to one's person, as disease, death, degradation is common and general  suffering. beat, struck, smote,    hit, the making a thing fall upon another thing, discipline/train, to cast forth,    threw or flung it, seal/stamp, veil/curtain/cover/barrier, to point or make    a sign, prohibit/hinder/prevent/withheld/restrain, collision, corrupted/disordered/disturbance/unsettled/confused,    turn away, avoid, shun, fashion/mould/adapt, mention or set forth (e.g. a parable/example),    explain, make a way, multiplying, go/travel, went away, it was or became long,    excite/incite/urge/instigate, contend, dispose/accommodate, retract/digression/transition,    to silence, tremble/shiver, share/portion.   Location where something is struck, wool or goat's hair separated or plucked    or beaten with a mallet, sword, tent-peg, mallet. daraba vb. (I) - perf. act. 3:156, 4:94,  4:101, 5:106, 14:24, 14:45, 16:75, 16:76, 16:112, 17:48, 18:11, 25:9, 25:39,  30:28, 30:58, 36:78, 39:27, 39:29, 43:17, 43:58, 66:10, 66:11, impf. act. 2:26, 8:50,  13:17, 13:17, 14:25, 16:74, 24:31, 24:31, 24:35, 29:43, 43:5, 47:3, 47:27,  59:21, 73:20, impv. 2:60, 2:73, 4:34,  7:160, 8:12, 8:12, 18:32, 18:45, 20:77, 26:63, 36:13, 38:44, perf. pass. 2:61, 3:112,  3:112, 22:73, 43:57, 57:13, n. vb. 2:273, 37:93,  47:4]	
795	DrE	ضرع	ḍād rā ʿayn	 to humiliate, abase, object, humble, lower one's self,  humility/submissiveness. Dry, bitter, thorny herbage.  Dari  n.m. - 88:6.	
796	DEf	ضعف	ḍād ʿayn fā	 to be weak/feeble/infirm. To think repute, esteem, treat or  hold a person weak. To exceed, twofold, manyfold, double, triple, multiple  words. Like, an equal portion or as much again.  adz'afan,  mudza'afah  are not used in 3:130, 4:131 as a qualifying phrase to restrict the meaning of riba (interest or usury) so as to confine it to a particular kind of  riba. They are used as descriptive clause to point to the inherent nature of riba which continually goes on increasing.	
797	Dgv	ضغث	ḍād ghayn thā	  Collected, confused or confounded. Washed without cleansing. Felt (for a certain  purpose). Complications. A handful of herbs mixed  together, fresh and dry. A handful of twigs of trees or shrubs or of the  fruit-stalks of the raceme of a palm-tree. Whatever that is collected or bundled  together and grasped with the hand.	
798	Dgn	ضغن	ḍād ghayn nūn	 He  (or one’s bosom) became affected with rancour, malevolence, malice, or spite. It  became crooked. He became affected with desire or with yearning or with longing  for the soul. The lion (because he is very rancorous, malevolent,  malicious, or spiteful).   aDghaanahum - n.m. (pl. of dahgn) 47:29 ,  aDghaanakum - 47:37	
799	DfdE	ضفدع	ḍād fā dāl ʿayn	 frogs (if said to water), shrank or became contracted (if  said to a man), a certain reptile of the rivers  Dafaadi’a n.m. (pl. dafda) - 7:133	
800	Dmm	ضمم	ḍād mīm mīm	 Drew, put, brought, gathered together. Collected or  contracted a thing to a thing. Be gentle, courteous, easy to deal with or  compliant. Grasped, took. Drew near or close. Became conjoined,  accompanied, comprised. Severe calamity or misfortune. A thing or thread, string, cord, or the like, by means of  which one thing is drawn, and joined, or adjoined, to another thing. A lion that  grasps everything. Angry, daring, bold (applied to a man).  Any valley [flowing with water] along which one goes between  two long hills of the kind termed akamat. Niggardly in the utmost degree. One who takes, or gets, everything within his grasp,  drawing it to himself. One who eats much, has an inordinate appetite for food,  who appropriates to himself exclusively of others. A company or collection of men not of one stock, but of  different tribes mixed together.  A place of assembling (of military forces).  Lean or slander in the belly (as though one part thereof  were drawn and adjoined to another).  damma vb. (1) wauDmum impv. 20:22, 28:32	
801	Dnk	ضنك	ḍād nūn kāf	 Became narrow or strait (indicate hardship). Became weak in  judgment, in body, in soul, in intellect. Hard, firm, and compact in the flesh (applied to a man).  Affected with a constant or chronic, pervading disease. Became redundant, increased, or augmented.  Children or offspring.  danuka vb. (1) Dankan n.vb. 20:124	
802	Dnn	ضنن	ḍād nūn nūn	  Became niggardly, tenacious, stingy, or avaricious. A thing highly esteemed, of  which one is tenacious. Courageous, brave, or strong-hearted.  biDaniinin n.m. 81:24	
803	DhA	ضهأ	ḍād hā hamza		
804	DwA	ضوأ	ḍād wāw hamza	  Brought to light, made visible, discovered, or revealed. One who stood in the dark to see people by the light of  their fire, without their seeing him.  Diyaa-an/Diyaa-in n.m. 10:5, 21:48, 28:71	
805	Dyr	ضير	ḍād yā rā	 Harmed, injured, hurt, mischiefed, or damaged.  dara vb. (1) Dayra n.vb. 26:50	
806	Dyz	ضيز	ḍād yā zāy	 Deviated from the right course. Acted unjustly, wrongfully,  injuriously, or tyrannically. One who deprived or defrauded, of a part or whole, of  another’s right or due. Unjust or defective.    Diizaa n.f. adj. 53:22	
807	DyE	ضيع	ḍād yā ʿayn	 perished, came to nought, passed away, became lost, left alone,  neglected, unmindful, destroyed, wasted.  ada'a vb. (4) aDaa’uu perf. act. 19:59  yuDii’a/yuDii’u/nuDii’u impf. act. 2:143, 3:171, 3:195, 7:170, 9:120,  11:115, 12:56, 12:90, 18:30	
808	Dyf	ضيف	ḍād yā fā	 Inclined, approached, drew near to setting (said of the sun).  Menstruation (said of a woman).&nbsp;  Become a guest, refuge of someone. Become correlative to  something. Correlation, or reciprocal correlation, so that one cannot be  conceived in the mind without the other. Beign collected, joined, added  together. Ran, hastened, fled, sped, turned away. Beset by distress of mind. Hardship, difficulty, or  distress. Asking, or calling, for an aid.  Dayfi n.m. 11:78, 15:51, 15:68, 51:24, 54:37	
809	Dyq	ضيق	ḍād yā qāf	 Became narrow or strait. Became choked, surcharged, or  overfilled with something. Treated or behave towards someone with hardness or  harshness. Means of living became straitened, property went away,  poor. An evil state of condition.  daqa vb. (1)  Daaqat/Daaqa perf. act. 9:25, 9:118, 9:118, 11:77, 29:33  yaDiiqu impf. act. 15:97, 26:13  waDaa-iqun pcple. act. 11:12  Dayqin/Dayyiqan n.m. 6:125, 16:127, 25:13, 27:70	
